Lesson,Lesson English,Course,Number
Glamour et paillettes part 1,Glamour and glitter part 1,Beginner(A2) Course 1,1
Glamour et paillettes part 2,Glamour and glitter part 2,Beginner(A2) Course 1,2
Glamour et paillettes part 3,Glamour and glitter part 3,Beginner(A2) Course 1,3
Glamour et paillettes Review,Glamour and glitter review,Beginner(A2) Course 1,4
Le café de trop part 1,One coffee too many part 1,Beginner(A2) Course 1,5
Le café de trop part 2,One coffee too many part 2,Beginner(A2) Course 1,6
Le café de trop part 3,One coffee too many part 3,Beginner(A2) Course 1,7
Le café de trop review,One coffee too many review,Beginner(A2) Course 1,8
Mon petit nid douillet part 1,home sweet home,Beginner(A2) Course 1,9
Mon petit nid douillet part 2,home sweet home,Beginner(A2) Course 1,10
Mon petit nid douillet part 3,home sweet home,Beginner(A2) Course 1,11
Mon petit nid douillet review,home sweet home review,Beginner(A2) Course 1,12
