category,words,phrases
hello,56,44
chatbot,,
start,,
core vocabulary,136,70
family,100,50
countries and languages,132,59
romance,126,60
seasons and weather,157,81
preparing a trip,192,88
travel,190,73
vacation activities,196,75
public transportation,179,68
food & drinks,139,65
school,109,32
sports,116,34
introductions,101,34
pets,164,55
entertainment,177,62
shopping,170,67
around the house,181,64
grammar 1,178,89
grammar 2,161,72
grammar 3,199,81
airport 1,106,35
airport 2,111,37
hotel: reservation,111,33
hotel: in the room,136,35
restaurant 1,101,36
restaurant 2,103,35
restaurant 3,112,36
restaurant 4,100,38
city tour,177,67
bank,107,35
business,123,35
fun,114,35
help,161,57
doctor,109,39
emergencies,160,72
animals,27,0
fruits & food,36,0
colors & numbers,34,1
parts of the body,33,0
business communication,157,65
calls and emails,187,62
project management,164,60
meetings,188,60
Presentations & reports,187,60
negotiations,174,58
marketing,212,62
human resources,222,62
Finance & banking,193,62
flight attendant,315,164
restaurant staff,329,209
hotel receptionist,325,185
healthcare professionals,341,173
shop assistant,290,186
2022 August,?,
2022 July,?,
2022 June,?,
2021 April,,
